iter	Passed	Remaining
0	2	211
1	4	214
2	6	204
3	7	184
4	9	179
5	11	175
6	12	172
7	14	168
8	16	166
9	18	163
10	19	161
11	21	159
12	23	156
13	25	154
14	26	149
15	27	144
16	28	139
17	29	134
18	30	130
19	31	126
20	32	123
21	33	119
22	34	116
23	35	113
24	37	111
25	38	108
26	39	106
27	40	103
28	41	101
29	42	99
30	43	97
31	44	95
32	46	93
33	47	91
34	48	89
35	49	87
36	50	85
37	51	84
38	52	82
39	53	80
40	54	78
41	55	76
42	56	74
43	57	72
44	58	71
45	59	69
46	60	68
47	61	66
48	62	65
49	63	63
50	65	62
51	66	60
52	67	59
53	68	58
54	68	56
55	70	55
56	71	53
57	72	52
58	73	51
59	74	49
60	75	48
61	77	47
62	78	46
63	79	44
64	80	43
65	82	42
66	83	41
67	84	39
68	86	38
69	87	37
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	95	30
76	96	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	21
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	112	9
92	113	8
93	114	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	121	0
