iter	Passed	Remaining
0	217	217700
1	220	109839
2	222	73824
3	224	55868
4	226	45124
5	229	38011
6	232	32951
7	234	29089
8	236	26057
9	239	23673
10	241	21682
11	242	20002
12	244	18557
13	246	17350
14	248	16309
15	250	15401
16	254	14697
17	256	13980
18	258	13335
19	260	12744
20	262	12217
21	263	11734
22	265	11262
23	266	10840
24	267	10450
25	269	10081
26	270	9738
27	271	9419
28	272	9124
29	273	8845
30	274	8585
31	275	8339
32	276	8109
33	277	7892
34	278	7688
35	280	7498
36	281	7328
37	282	7162
38	284	6999
39	285	6844
40	286	6696
41	288	6585
42	290	6466
43	292	6350
44	294	6242
45	295	6137
46	297	6040
47	299	5947
48	301	5852
49	302	5752
50	304	5660
51	305	5573
52	307	5489
53	309	5413
54	310	5340
55	312	5274
56	314	5205
57	316	5139
58	318	5075
59	320	5016
60	322	4961
61	324	4902
62	325	4838
63	326	4780
64	329	4733
65	330	4679
66	331	4621
67	333	4564
68	334	4508
69	335	4454
70	336	4401
71	337	4349
72	338	4299
73	339	4250
74	340	4203
75	342	4160
76	343	4116
77	344	4072
78	345	4030
79	346	3988
80	347	3947
81	349	3907
82	349	3862
83	350	3824
84	351	3787
85	353	3751
86	354	3716
87	355	3680
88	356	3649
89	357	3619
90	359	3587
91	360	3555
92	361	3524
93	362	3493
94	363	3465
95	364	3436
96	366	3407
97	367	3378
98	368	3350
99	369	3323
100	370	3297
101	371	3273
102	373	3249
103	374	3225
104	375	3200
105	376	3176
106	377	3152
107	378	3129
108	380	3106
109	381	3084
110	382	3062
111	383	3040
112	384	3018
113	385	2997
114	387	2978
115	388	2960
116	389	2939
117	390	2919
118	391	2900
119	392	2881
120	394	2862
121	394	2842
122	396	2823
123	397	2805
124	398	2787
125	399	2770
126	400	2751
127	401	2736
128	403	2722
129	404	2706
130	405	2690
131	406	2674
132	407	2658
133	408	2642
134	409	2626
135	411	2611
136	412	2596
137	413	2581
138	414	2567
139	415	2552
140	417	2543
141	418	2527
142	419	2513
143	420	2500
144	421	2486
145	422	2472
146	423	2459
147	424	2446
148	426	2433
149	427	2421
150	428	2408
151	429	2396
152	430	2384
153	432	2373
154	433	2364
155	434	2353
156	436	2341
157	437	2330
158	438	2319
159	439	2307
160	440	2294
161	441	2283
162	442	2272
163	443	2261
164	444	2250
165	445	2239
166	447	2230
167	448	2220
168	449	2210
169	450	2200
170	452	2191
171	453	2182
172	454	2172
173	455	2163
174	456	2153
175	457	2144
176	459	2134
177	460	2124
178	461	2116
179	462	2108
180	464	2099
181	465	2090
182	466	2081
183	467	2071
184	468	2062
185	469	2053
186	470	2045
187	471	2036
188	472	2027
189	473	2019
190	474	2011
191	476	2003
192	477	1997
193	478	1989
194	480	1981
195	481	1974
196	482	1966
197	483	1958
198	484	1950
199	485	1942
200	486	1934
201	487	1927
202	488	1919
203	490	1912
204	491	1905
205	492	1898
206	494	1893
207	495	1887
208	496	1880
209	498	1874
210	499	1867
211	500	1861
212	502	1855
213	503	1848
214	504	1842
215	506	1837
216	507	1831
217	508	1825
218	510	1819
219	511	1813
220	512	1807
221	514	1801
222	515	1795
223	516	1789
224	517	1783
225	518	1776
226	520	1770
227	521	1765
228	523	1761
229	524	1757
230	526	1751
231	527	1746
232	529	1741
233	530	1736
234	531	1731
235	533	1726
236	534	1722
237	536	1717
238	538	1713
239	539	1709
240	541	1704
241	542	1699
242	543	1694
243	545	1690
244	547	1685
245	548	1681
246	549	1676
247	551	1671
248	552	1666
249	554	1662
250	555	1656
251	556	1651
252	557	1645
253	558	1640
254	559	1634
255	560	1629
256	561	1624
257	563	1619
258	564	1614
259	565	1610
260	567	1606
261	568	1601
262	569	1596
263	570	1591
264	572	1586
265	573	1581
266	574	1576
267	575	1571
268	576	1566
269	577	1561
270	578	1556
271	579	1552
272	581	1548
273	582	1544
274	584	1539
275	585	1535
276	586	1530
277	587	1526
278	588	1522
279	590	1517
280	591	1513
281	593	1509
282	594	1505
283	595	1502
284	597	1499
285	599	1496
286	600	1492
287	602	1489
288	604	1486
289	605	1482
290	607	1479
291	608	1475
292	610	1472
293	611	1469
294	613	1466
295	615	1463
296	616	1459
297	618	1456
298	620	1453
299	621	1449
300	622	1446
301	624	1443
302	626	1440
303	628	1437
304	629	1434
305	630	1430
306	632	1427
307	633	1424
308	635	1420
309	636	1417
310	638	1413
311	639	1410
312	641	1407
313	642	1404
314	644	1401
315	645	1398
316	647	1394
317	648	1391
318	650	1387
319	651	1384
320	652	1381
321	654	1378
322	656	1375
323	657	1372
324	659	1369
325	660	1365
326	662	1363
327	663	1359
328	664	1356
329	666	1353
330	667	1349
331	669	1346
332	671	1344
333	672	1341
334	673	1337
335	675	1334
336	676	1331
337	678	1328
338	679	1325
339	681	1322
340	682	1319
341	684	1316
342	686	1314
343	687	1311
344	689	1308
345	691	1306
346	692	1303
347	694	1300
348	695	1297
349	697	1294
350	698	1291
351	700	1289
352	702	1286
353	703	1283
354	704	1280
355	706	1277
356	707	1274
357	709	1271
358	710	1268
359	712	1265
360	713	1263
361	718	1265
362	720	1263
363	721	1260
364	723	1258
365	724	1255
366	725	1252
367	727	1249
368	728	1246
369	730	1244
370	732	1241
371	733	1238
372	735	1235
373	736	1232
374	737	1229
375	739	1226
376	740	1223
377	741	1220
378	742	1216
379	743	1213
380	745	1211
381	746	1208
382	747	1204
383	748	1201
384	750	1198
385	751	1195
386	752	1191
387	753	1188
388	754	1185
389	755	1182
390	757	1179
391	758	1175
392	759	1173
393	761	1170
394	762	1167
395	763	1164
396	764	1161
397	765	1158
398	766	1154
399	767	1151
400	769	1148
401	770	1145
402	771	1142
403	772	1139
404	773	1136
405	775	1134
406	776	1131
407	777	1128
408	778	1125
409	779	1122
410	781	1119
411	782	1116
412	783	1113
413	784	1110
414	785	1107
415	786	1104
416	787	1101
417	789	1099
418	790	1096
419	791	1093
420	793	1090
421	794	1087
422	795	1084
423	796	1081
424	797	1079
425	798	1076
426	799	1073
427	800	1070
428	801	1067
429	803	1064
430	804	1062
431	806	1060
432	807	1057
433	808	1054
434	810	1052
435	811	1049
436	812	1046
437	813	1043
438	814	1040
439	815	1038
440	816	1035
441	817	1032
442	819	1030
443	821	1028
444	822	1025
445	823	1023
446	824	1020
447	825	1017
448	826	1014
449	827	1011
450	829	1009
451	830	1006
452	831	1004
453	832	1001
454	834	999
455	835	996
456	836	994
457	837	991
458	839	989
459	840	986
460	841	983
461	842	980
462	843	978
463	844	975
464	845	973
465	847	970
466	848	967
467	849	965
468	850	963
469	852	960
470	853	958
471	854	955
472	855	953
473	856	950
474	857	947
475	858	945
476	860	943
477	861	940
478	862	937
479	863	935
480	865	933
481	866	931
482	867	928
483	868	926
484	869	923
485	870	921
486	871	918
487	873	915
488	874	913
489	875	911
490	876	908
491	877	906
492	878	903
493	880	901
494	881	899
495	882	896
496	883	894
497	884	891
498	885	889
499	887	887
500	888	884
501	889	882
502	890	879
503	891	877
504	892	874
505	893	872
506	895	870
507	896	868
508	897	866
509	898	863
510	899	861
511	901	858
512	902	856
513	903	854
514	904	851
515	905	849
516	906	846
517	907	844
518	909	842
519	910	840
520	911	838
521	913	836
522	914	833
523	915	831
524	916	829
525	917	827
526	919	824
527	920	822
528	921	820
529	922	817
530	923	815
531	924	813
532	926	811
533	927	809
534	928	806
535	929	804
536	930	802
537	931	800
538	932	797
539	934	795
540	935	793
541	936	791
542	937	788
543	938	786
544	940	784
545	941	782
546	942	780
547	943	778
548	945	776
549	946	774
550	947	772
551	948	769
552	949	767
553	950	765
554	952	763
555	953	761
556	954	759
557	956	757
558	957	755
559	958	753
560	959	751
561	960	748
562	962	746
563	963	744
564	964	742
565	965	740
566	966	738
567	967	735
568	968	733
569	970	731
570	971	730
571	972	727
572	974	725
573	975	723
574	976	721
575	977	719
576	978	717
577	979	715
578	980	713
579	981	710
580	982	708
581	984	706
582	985	705
583	987	703
584	988	701
585	989	699
586	990	696
587	991	694
588	992	692
589	993	690
590	994	688
591	996	686
592	997	684
593	998	682
594	999	680
595	1001	678
596	1002	676
597	1003	674
598	1004	672
599	1006	670
600	1007	668
601	1008	666
602	1009	664
603	1010	662
604	1011	660
605	1012	658
606	1014	656
607	1015	654
608	1016	652
609	1017	650
610	1018	648
611	1020	646
612	1021	644
613	1022	642
614	1023	640
615	1024	638
616	1025	636
617	1026	634
618	1028	632
619	1029	630
620	1030	629
621	1031	627
622	1033	625
623	1034	623
624	1035	621
625	1036	619
626	1037	617
627	1038	615
628	1039	613
629	1040	611
630	1042	609
631	1043	607
632	1044	605
633	1045	603
634	1046	601
635	1048	599
636	1049	597
637	1050	595
638	1051	593
639	1052	592
640	1053	590
641	1054	588
642	1055	586
643	1057	584
644	1058	582
645	1060	581
646	1061	579
647	1063	577
648	1064	575
649	1065	573
650	1066	571
651	1067	569
652	1068	567
653	1069	566
654	1071	564
655	1072	562
656	1073	560
657	1074	558
658	1076	556
659	1077	555
660	1078	553
661	1079	551
662	1080	549
663	1081	547
664	1083	545
665	1084	543
666	1085	541
667	1086	539
668	1087	538
669	1088	536
670	1090	534
671	1091	532
672	1093	531
673	1094	529
674	1095	527
675	1096	525
676	1097	523
677	1098	521
678	1099	520
679	1101	518
680	1102	516
681	1103	514
682	1105	512
683	1106	511
684	1107	509
685	1108	507
686	1109	505
687	1110	503
688	1111	501
689	1113	500
690	1114	498
691	1115	496
692	1116	494
693	1117	492
694	1119	491
695	1120	489
696	1122	487
697	1123	486
698	1124	484
699	1125	482
700	1126	480
701	1127	478
702	1129	477
703	1130	475
704	1131	473
705	1132	471
706	1133	469
707	1135	468
708	1136	466
709	1138	464
710	1139	463
711	1140	461
712	1141	459
713	1142	457
714	1143	455
715	1144	454
716	1146	452
717	1147	450
718	1148	448
719	1149	447
720	1151	445
721	1152	443
722	1153	441
723	1154	440
724	1155	438
725	1157	436
726	1158	434
727	1159	433
728	1160	431
729	1161	429
730	1162	427
731	1163	426
732	1165	424
733	1166	422
734	1167	420
735	1168	419
736	1169	417
737	1171	415
738	1172	413
739	1173	412
740	1174	410
741	1175	408
742	1176	406
743	1177	405
744	1178	403
745	1180	401
746	1181	400
747	1182	398
748	1184	396
749	1185	395
750	1186	393
751	1187	391
752	1188	389
753	1189	388
754	1190	386
755	1192	384
756	1193	383
757	1194	381
758	1195	379
759	1197	378
760	1198	376
761	1199	374
762	1200	372
763	1201	371
764	1202	369
765	1204	367
766	1205	366
767	1206	364
768	1207	362
769	1208	360
770	1209	359
771	1211	357
772	1212	356
773	1213	354
774	1214	352
775	1215	350
776	1216	349
777	1217	347
778	1219	345
779	1220	344
780	1221	342
781	1222	340
782	1223	339
783	1224	337
784	1226	335
785	1227	334
786	1228	332
787	1229	330
788	1230	329
789	1232	327
790	1233	325
791	1234	324
792	1235	322
793	1236	320
794	1237	319
795	1238	317
796	1240	315
797	1241	314
798	1242	312
799	1243	310
800	1244	309
801	1245	307
802	1246	305
803	1248	304
804	1249	302
805	1250	300
806	1251	299
807	1252	297
808	1253	296
809	1255	294
810	1256	292
811	1257	291
812	1258	289
813	1259	287
814	1260	286
815	1262	284
816	1263	282
817	1264	281
818	1265	279
819	1266	278
820	1267	276
821	1268	274
822	1270	273
823	1271	271
824	1272	270
825	1273	268
826	1275	266
827	1276	265
828	1277	263
829	1278	261
830	1279	260
831	1280	258
832	1281	256
833	1283	255
834	1284	253
835	1285	252
836	1287	250
837	1288	249
838	1289	247
839	1290	245
840	1291	244
841	1293	242
842	1294	241
843	1295	239
844	1296	237
845	1297	236
846	1298	234
847	1300	233
848	1301	231
849	1302	229
850	1303	228
851	1304	226
852	1305	225
853	1307	223
854	1308	221
855	1309	220
856	1310	218
857	1311	217
858	1312	215
859	1313	213
860	1315	212
861	1316	210
862	1317	209
863	1318	207
864	1319	205
865	1320	204
866	1321	202
867	1323	201
868	1324	199
869	1325	198
870	1326	196
871	1327	194
872	1328	193
873	1329	191
874	1331	190
875	1332	188
876	1333	187
877	1334	185
878	1335	183
879	1337	182
880	1338	180
881	1339	179
882	1341	177
883	1342	176
884	1343	174
885	1344	173
886	1346	171
887	1347	169
888	1348	168
889	1350	166
890	1351	165
891	1352	163
892	1353	162
893	1354	160
894	1355	159
895	1356	157
